iter	Passed	Remaining
0	28	28235
1	53	26677
2	83	27669
3	114	28628
4	135	26998
5	164	27191
6	194	27600
7	217	26948
8	250	27578
9	277	27482
10	301	27148
11	329	27153
12	360	27345
13	377	26581
14	396	26059
15	427	26289
16	456	26393
17	488	26668
18	521	26928
19	552	27075
20	585	27314
21	601	26723
22	631	26813
23	660	26863
24	672	26233
25	702	26304
26	733	26447
27	762	26467
28	792	26539
29	822	26591
30	854	26697
31	886	26825
32	921	27016
33	947	26926
34	979	27002
35	1012	27115
36	1039	27050
37	1073	27175
38	1105	27250
39	1137	27301
40	1170	27377
41	1194	27253
42	1221	27189
43	1255	27274
44	1268	26916
45	1337	27737
46	1374	27860
47	1408	27929
48	1442	27994
49	1477	28065
50	1514	28182
51	1548	28224
52	1578	28204
53	1611	28228
54	1645	28271
55	1674	28225
56	1686	27900
57	1709	27766
58	1742	27792
59	1777	27841
60	1808	27833
61	1824	27602
62	1858	27638
63	1885	27579
64	1914	27543
65	1945	27532
66	1977	27537
67	2003	27461
68	2037	27491
69	2069	27497
70	2101	27495
71	2133	27503
72	2165	27500
73	2197	27499
74	2223	27426
75	2260	27477
76	2292	27480
77	2325	27487
78	2351	27409
79	2377	27342
80	2413	27378
81	2447	27405
82	2480	27401
83	2509	27361
84	2524	27177
85	2553	27134
86	2583	27115
87	2611	27059
88	2651	27144
89	2685	27148
90	2714	27117
91	2739	27040
92	2768	27004
93	2804	27031
94	2838	27044
95	2868	27009
96	2903	27029
97	2931	26980
98	2964	26982
99	2995	26960
100	3028	26961
101	3060	26948
102	3091	26925
103	3122	26898
104	3155	26892
105	3189	26903
106	3225	26920
107	3258	26909
108	3289	26886
109	3322	26880
110	3352	26846
111	3384	26834
112	3420	26852
113	3448	26802
114	3480	26784
115	3509	26747
116	3543	26739
117	3571	26697
118	3601	26665
119	3635	26660
120	3664	26617
121	3693	26579
122	3725	26566
123	3757	26544
124	3787	26513
125	3815	26468
126	3848	26455
127	3881	26442
128	3914	26431
129	3949	26428
130	3977	26387
131	4008	26360
132	4038	26327
133	4068	26293
134	4102	26283
135	4131	26245
136	4164	26235
137	4198	26222
138	4236	26241
139	4268	26220
140	4302	26212
141	4333	26182
142	4364	26159
143	4400	26157
144	4434	26148
145	4461	26095
146	4492	26067
147	4522	26036
148	4555	26016
149	4588	26001
150	4620	25977
151	4655	25972
152	4686	25946
153	4721	25935
154	4754	25922
155	4788	25908
156	4818	25874
157	4851	25853
158	4883	25829
159	4916	25809
160	4951	25803
161	4981	25769
162	5008	25718
163	5038	25684
164	5070	25658
165	5101	25628
166	5131	25596
167	5161	25562
168	5192	25532
169	5223	25503
170	5255	25477
171	5288	25459
172	5321	25439
173	5354	25416
174	5387	25399
175	5416	25358
176	5449	25339
177	5483	25323
178	5514	25294
179	5548	25276
180	5581	25257
181	5613	25230
182	5646	25208
183	5677	25177
184	5707	25142
185	5741	25127
186	5775	25111
187	5808	25086
188	5836	25045
189	5867	25012
190	5893	24962
191	5928	24949
192	5963	24936
193	5993	24900
194	6026	24879
195	6059	24855
196	6091	24831
197	6118	24781
198	6151	24758
199	6180	24721
200	6213	24701
201	6247	24679
202	6279	24652
203	6316	24644
204	6348	24620
205	6378	24585
206	6409	24553
207	6443	24533
208	6473	24501
209	6501	24456
210	6529	24417
211	6562	24393
212	6594	24366
213	6629	24348
214	6660	24319
215	6692	24293
216	6726	24269
217	6757	24239
218	6787	24205
219	6821	24186
220	6853	24156
221	6893	24159
222	6926	24132
223	6961	24117
224	6991	24083
225	7025	24062
226	7059	24039
227	7089	24003
228	7120	23973
229	7152	23946
230	7183	23912
231	7214	23883
232	7247	23856
233	7279	23828
234	7310	23799
235	7348	23787
236	7377	23750
237	7406	23713
238	7439	23686
239	7467	23647
240	7496	23610
241	7527	23578
242	7562	23560
243	7595	23534
244	7626	23500
245	7656	23466
246	7690	23443
247	7722	23416
248	7756	23393
249	7788	23365
250	7822	23341
251	7852	23308
252	7885	23283
253	7915	23247
254	7945	23214
255	7978	23188
256	8010	23158
257	8043	23133
258	8075	23103
259	8109	23079
260	8135	23034
261	8162	22991
262	8193	22959
263	8224	22929
264	8256	22900
265	8288	22870
266	8324	22853
267	8354	22818
268	8387	22792
269	8418	22761
270	8454	22742
271	8485	22711
272	8522	22694
273	8557	22675
274	8589	22644
275	8621	22617
276	8658	22600
277	8693	22577
278	8724	22547
279	8757	22520
280	8793	22499
281	8832	22489
282	8869	22470
283	8901	22442
284	8934	22414
285	8965	22383
286	8995	22347
287	9028	22319
288	9058	22286
289	9088	22251
290	9123	22227
291	9158	22205
292	9189	22174
293	9218	22138
294	9249	22104
295	9273	22055
296	9307	22030
297	9339	22000
298	9373	21976
299	9401	21936
300	9469	21989
301	9498	21952
302	9532	21927
303	9566	21902
304	9600	21877
305	9634	21850
306	9665	21819
307	9698	21791
308	9731	21762
309	9762	21730
310	9795	21700
311	9830	21676
312	9866	21656
313	9896	21620
314	9924	21582
315	9964	21568
316	9992	21530
317	10024	21498
318	10067	21491
319	10116	21497
320	10143	21456
321	10177	21428
322	10209	21398
323	10242	21370
324	10273	21337
325	10305	21307
326	10338	21277
327	10371	21249
328	10404	21220
329	10438	21193
330	10467	21156
331	10497	21120
332	10526	21084
333	10555	21047
334	10586	21015
335	10617	20982
336	10649	20952
337	10682	20923
338	10716	20896
339	10746	20860
340	10778	20830
341	10813	20805
342	10844	20772
343	10876	20740
344	10910	20713
345	10939	20678
346	10971	20645
347	11003	20615
348	11033	20581
349	11065	20549
350	11096	20518
351	11128	20487
352	11160	20455
353	11194	20428
354	11227	20398
355	11259	20369
356	11289	20334
357	11319	20299
